timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1591263544593,5,BeanShell Sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1591263544602,3541,Home Page,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,72282,2168,1,1,https://blazedemo.com/,2786,0,124
1591263544602,2791,Home Page-0,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1434,338,1,1,https://blazedemo.com/,2786,0,124
1591263547396,114,Home Page-1,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,29686,380,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,62,0,19
1591263547398,299,Home Page-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8669,361,1,1,https://blazedemo.com/assets/bootstrap.min.js,273,0,0
1591263547399,573,Home Page-3,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8814,363,1,1,https://blazedemo.com/assets/bootstrap-table.js,558,0,135
1591263547399,744,Home Page-4,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22294,362,1,1,https://blazedemo.com/assets/bootstrap.min.css,655,0,131
1591263547399,384,Home Page-5,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1385,364,1,1,https://blazedemo.com/assets/bootstrap-table.css,382,0,129
1591263548144,2168,Flight Search,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,43181,3330,1,1,https://blazedemo.com/reserve.php,1759,0,0
1591263548144,1765,Flight Search-0,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1547,517,1,1,https://blazedemo.com/reserve.php,1759,0,0
1591263549911,34,Flight Search-1,304,Not Modified,jp@gc - Ultimate Thread Group 1-1,,true,,120,543,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1591263549911,306,Flight Search-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8744,566,1,1,https://blazedemo.com/assets/bootstrap.min.js,293,0,0
1591263549912,288,Flight Search-3,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,9191,568,1,1,https://blazedemo.com/assets/bootstrap-table.js,272,0,0
1591263549913,399,Flight Search-4,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22051,568,1,1,https://blazedemo.com/assets/bootstrap.min.css,306,0,0
1591263549913,289,Flight Search-5,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1528,568,1,1,https://blazedemo.com/assets/bootstrap-table.css,283,0,0
1591263550314,1161,Flight Select,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,43307,3443,1,1,https://blazedemo.com/purchase.php,375,0,0
1591263550314,377,Flight Select-0,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1731,575,1,1,https://blazedemo.com/purchase.php,375,0,0
1591263550693,23,Flight Select-1,304,Not Modified,jp@gc - Ultimate Thread Group 1-1,,true,,120,554,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1591263550693,281,Flight Select-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8542,577,1,1,https://blazedemo.com/assets/bootstrap.min.js,271,0,0
1591263550693,344,Flight Select-3,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,9193,579,1,1,https://blazedemo.com/assets/bootstrap-table.js,308,0,0
1591263550693,782,Flight Select-4,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22367,579,1,1,https://blazedemo.com/assets/bootstrap.min.css,690,0,0
1591263550693,264,Flight Select-5,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1354,579,1,1,https://blazedemo.com/assets/bootstrap-table.css,258,0,0
1591263551480,840,Booking,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,42756,3615,1,1,https://blazedemo.com/confirmation.php,426,0,0
1591263551480,432,Booking-0,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1487,742,1,1,https://blazedemo.com/confirmation.php,426,0,0
1591263551915,26,Booking-1,304,Not Modified,jp@gc - Ultimate Thread Group 1-1,,true,,120,555,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,0,0,0
1591263551915,321,Booking-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8247,578,1,1,https://blazedemo.com/assets/bootstrap.min.js,296,0,0
1591263551915,405,Booking-3,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,9357,580,1,1,https://blazedemo.com/assets/bootstrap-table.js,377,0,0
1591263551915,387,Booking-4,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22126,580,1,1,https://blazedemo.com/assets/bootstrap.min.css,293,0,0
1591263551915,268,Booking-5,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1419,580,1,1,https://blazedemo.com/assets/bootstrap-table.css,263,0,0
1591263544593,7715,Test,200,"Number of samples in transaction : 5, number of failing samples : 0",jp@gc - Ultimate Thread Group 1-1,,true,,201526,12556,1,1,null,5346,14,124
1591263552321,2,BeanShell Sampler,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1591263552325,7418,Home Page,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,72398,2168,1,1,https://blazedemo.com/,6827,0,162
1591263552325,6830,Home Page-0,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1493,338,1,1,https://blazedemo.com/,6827,0,162
1591263559156,103,Home Page-1,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,29686,380,1,1,http://ajax.googleapis.com/ajax/libs/jquery/2.0.0/jquery.min.js,58,0,17
1591263559156,484,Home Page-2,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8482,361,1,1,https://blazedemo.com/assets/bootstrap.min.js,456,0,128
1591263559156,283,Home Page-3,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,8966,363,1,1,https://blazedemo.com/assets/bootstrap-table.js,258,0,0
1591263559156,587,Home Page-4,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,22259,362,1,1,https://blazedemo.com/assets/bootstrap.min.css,495,0,134
1591263559156,362,Home Page-5,200,OK,jp@gc - Ultimate Thread Group 1-1,text,true,,1512,364,1,1,https://blazedemo.com/assets/bootstrap-table.css,362,0,69
